query_idx,repetition,query,latency_ms,timestamp
1,13,全球旅行治安等级分为几级？一级相对安全是什么意思？,232.3,2026-07-29T18:32:55.519030
1,14,全球旅行治安等级分为几级？一级相对安全是什么意思？,406.2,2026-07-29T18:32:56.112270
2,1,日本京都和奈良有哪些推荐景点？,345.9,2026-07-29T18:32:57.085609
2,2,日本京都和奈良有哪些推荐景点？,436.7,2026-07-29T18:32:57.710100
2,3,日本京都和奈良有哪些推荐景点？,423.5,2026-07-29T18:32:58.323254
2,4,日本京都和奈良有哪些推荐景点？,264.9,2026-07-29T18:32:58.774280
2,5,日本京都和奈良有哪些推荐景点？,378.5,2026-07-29T18:32:59.341606
2,6,日本京都和奈良有哪些推荐景点？,378.4,2026-07-29T18:32:59.907206
2,7,日本京都和奈良有哪些推荐景点？,418.1,2026-07-29T18:33:00.513990
2,8,日本京都和奈良有哪些推荐景点？,271.4,2026-07-29T18:33:00.983174
2,9,日本京都和奈良有哪些推荐景点？,288.2,2026-07-29T18:33:01.462183
2,10,日本京都和奈良有哪些推荐景点？,469.2,2026-07-29T18:33:02.117511
2,11,日本京都和奈良有哪些推荐景点？,384.6,2026-07-29T18:33:02.689515
2,12,日本京都和奈良有哪些推荐景点？,450.1,2026-07-29T18:33:03.326759
2,13,日本京都和奈良有哪些推荐景点？,313.0,2026-07-29T18:33:03.801947
2,14,日本京都和奈良有哪些推荐景点？,397.7,2026-07-29T18:33:04.383796
3,1,中国护照去泰国旅游，入境和签证政策要注意什么？,266.7,2026-07-29T18:33:05.438409
3,2,中国护照去泰国旅游，入境和签证政策要注意什么？,304.2,2026-07-29T18:33:05.930564
3,3,中国护照去泰国旅游，入境和签证政策要注意什么？,287.7,2026-07-29T18:33:06.404836
3,4,中国护照去泰国旅游，入境和签证政策要注意什么？,389.6,2026-07-29T18:33:06.979361
3,5,中国护照去泰国旅游，入境和签证政策要注意什么？,317.9,2026-07-29T18:33:07.478141
3,6,中国护照去泰国旅游，入境和签证政策要注意什么？,433.4,2026-07-29T18:33:08.094797
3,7,中国护照去泰国旅游，入境和签证政策要注意什么？,391.5,2026-07-29T18:33:08.673332
3,8,中国护照去泰国旅游，入境和签证政策要注意什么？,262.4,2026-07-29T18:33:09.122888
3,9,中国护照去泰国旅游，入境和签证政策要注意什么？,366.9,2026-07-29T18:33:09.677512
3,10,中国护照去泰国旅游，入境和签证政策要注意什么？,337.5,2026-07-29T18:33:10.171526
3,11,中国护照去泰国旅游，入境和签证政策要注意什么？,270.9,2026-07-29T18:33:10.629120
3,12,中国护照去泰国旅游，入境和签证政策要注意什么？,403.7,2026-07-29T18:33:11.221920
3,13,中国护照去泰国旅游，入境和签证政策要注意什么？,267.3,2026-07-29T18:33:11.674458
3,14,中国护照去泰国旅游，入境和签证政策要注意什么？,263.1,2026-07-29T18:33:12.123183
4,1,带老人出行，有哪些旅行友好目的地和建议？,370.9,2026-07-29T18:33:13.118087
4,2,带老人出行，有哪些旅行友好目的地和建议？,424.3,2026-07-29T18:33:13.723311
4,3,带老人出行，有哪些旅行友好目的地和建议？,239.7,2026-07-29T18:33:14.158813
4,4,带老人出行，有哪些旅行友好目的地和建议？,414.1,2026-07-29T18:33:14.760013
4,5,带老人出行，有哪些旅行友好目的地和建议？,399.3,2026-07-29T18:33:15.337286
4,6,带老人出行，有哪些旅行友好目的地和建议？,234.2,2026-07-29T18:33:15.770157
4,7,带老人出行，有哪些旅行友好目的地和建议？,456.9,2026-07-29T18:33:16.390691
4,8,带老人出行，有哪些旅行友好目的地和建议？,370.7,2026-07-29T18:33:16.948252
4,9,带老人出行，有哪些旅行友好目的地和建议？,384.9,2026-07-29T18:33:17.521009
4,10,带老人出行，有哪些旅行友好目的地和建议？,271.7,2026-07-29T18:33:17.975379
4,11,带老人出行，有哪些旅行友好目的地和建议？,435.9,2026-07-29T18:33:18.598012
4,12,带老人出行，有哪些旅行友好目的地和建议？,379.3,2026-07-29T18:33:19.165922
4,13,带老人出行，有哪些旅行友好目的地和建议？,380.8,2026-07-29T18:33:19.734628
4,14,带老人出行，有哪些旅行友好目的地和建议？,266.4,2026-07-29T18:33:20.184204
5,1,想按自然风光主题选旅行地，知识库里怎么推荐？,363.1,2026-07-29T18:33:21.270817
5,2,想按自然风光主题选旅行地，知识库里怎么推荐？,400.8,2026-07-29T18:33:21.858127
5,3,想按自然风光主题选旅行地，知识库里怎么推荐？,268.9,2026-07-29T18:33:22.312930
5,4,想按自然风光主题选旅行地，知识库里怎么推荐？,443.0,2026-07-29T18:33:22.910905
5,5,想按自然风光主题选旅行地，知识库里怎么推荐？,384.8,2026-07-29T18:33:23.430911
5,6,想按自然风光主题选旅行地，知识库里怎么推荐？,247.2,2026-07-29T18:33:23.860675
5,7,想按自然风光主题选旅行地，知识库里怎么推荐？,400.5,2026-07-29T18:33:24.445168
5,8,想按自然风光主题选旅行地，知识库里怎么推荐？,390.1,2026-07-29T18:33:25.020916
5,9,想按自然风光主题选旅行地，知识库里怎么推荐？,283.2,2026-07-29T18:33:25.487230
5,10,想按自然风光主题选旅行地，知识库里怎么推荐？,328.3,2026-07-29T18:33:26.013854
5,11,想按自然风光主题选旅行地，知识库里怎么推荐？,424.3,2026-07-29T18:33:26.626683
5,12,想按自然风光主题选旅行地，知识库里怎么推荐？,294.7,2026-07-29T18:33:27.108667
5,13,想按自然风光主题选旅行地，知识库里怎么推荐？,430.7,2026-07-29T18:33:27.727306
5,14,想按自然风光主题选旅行地，知识库里怎么推荐？,460.5,2026-07-29T18:33:28.378038
